Size,Traditional,Divide & Conquer, Strassen
64x64,170490,28438995,13752105
128x128,1348255,226505490,96256780
256x256,13610835,1817521120,677888185
2x2,215,555,340
4x4,305,6415,4840
8x8,780,54760,39450
16x16,3675,443170,277890
32x32,22820,3538055,1989815
64x64,170180,28311060,13626035
128x128,1372420,226576320,96164105
256x256,13710465,1814027590,676799770
2x2,245,585,285
4x4,325,6600,4810
8x8,790,55240,38875
16x16,3730,444930,280160
32x32,23375,3589515,1973155
64x64,170695,28356490,13681130
128x128,1349730,226809605,96342195
256x256,13739230,1813862265,676351200
2x2,220,600,350
4x4,320,6400,4745
8x8,775,54470,37920
16x16,3635,440640,276845
32x32,23050,3566875,1957425
64x64,170645,28238105,13657160
128x128,1350600,226630935,96451035
256x256,13660175,1814090920,676376155
2x2,220,600,310
4x4,420,6400,4680
8x8,770,54045,38280
16x16,3670,442690,278410
32x32,22970,3543015,1956845
64x64,169535,28494250,13657130
128x128,1366360,226897545,96491500
256x256,13896960,1816976305,676997555
2x2,230,585,275
4x4,315,6410,4745
8x8,780,54335,38640
16x16,3665,442640,278365
32x32,22970,3546285,1953485
64x64,170055,28399240,13682660
128x128,1357255,226591030,96816850
256x256,16496150,1814861790,676048225
2x2,245,550,310
4x4,315,6585,4735
8x8,775,54415,37900
16x16,3635,441770,278210
32x32,23170,3568430,1978640
64x64,172790,28299030,13622845
128x128,1375840,226858880,96508185
256x256,13715930,1815083290,676491640
2x2,230,540,275
4x4,315,6390,4740
8x8,775,54280,38360
16x16,3685,440415,276050
32x32,22920,3527235,1939395
64x64,170135,28284830,13765435
128x128,1377025,226766970,96384235
256x256,13964500,1815482760,677078755
2x2,240,520,295
4x4,315,6405,4780
8x8,780,55075,38370
16x16,3680,462725,276555
32x32,22970,3525215,1956660
64x64,170605,28255025,13723570
128x128,1355625,226538920,96651675
256x256,14096590,1816658545,675675570
2x2,225,635,275
4x4,305,6540,4750
8x8,785,54495,37900
16x16,4285,438830,276975
32x32,22900,3502850,1970945
64x64,170900,28562650,13615870
128x128,1355715,226437995,96545520
256x256,13695380,1822902890,682152015
2x2,240,590,295
4x4,315,6435,4805
8x8,780,55610,38830
16x16,3725,446280,278465
32x32,23230,3591485,1987765
64x64,172070,28590585,13871585
128x128,1361595,228529755,97047980
256x256,13613380,1820440100,678487515
2x2,230,600,290
4x4,315,6355,4705
8x8,785,54255,38060
16x16,3645,435695,276130
32x32,22880,3556870,1964740
64x64,171245,28341355,13624225
128x128,1351740,226912665,96334290
256x256,13588485,1815298675,676799495
2x2,235,590,290
4x4,305,6405,4730
8x8,760,54385,38150
16x16,3655,439335,277365
32x32,23130,3556425,1983515
64x64,170670,28363495,13819215
128x128,1374905,227030520,96313770
256x256,14075015,1815410790,676809235
2x2,215,625,300
4x4,335,6430,4745
8x8,765,54150,38260
16x16,3660,440090,274380
32x32,22950,3518355,1951010
64x64,170760,28332550,13710745
128x128,1370865,226681540,96367425
256x256,14057265,1816517145,676823815
2x2,225,570,260
4x4,310,6435,4750
8x8,935,54560,38185
16x16,3675,442830,278180
32x32,23000,3564480,1955620
64x64,172540,28559495,13758915
128x128,1375480,226872290,96510885
256x256,13829440,1815972625,676289385
2x2,230,585,295
4x4,315,6405,4900
8x8,775,54540,38500
16x16,4800,440910,275750
32x32,22815,3547330,1960255
64x64,170710,28209970,13618660
128x128,1363330,226750445,96218480
256x256,14189585,1817245185,677125270
2x2,220,525,275
4x4,315,6420,5130
8x8,790,54800,38240
16x16,3655,441860,276850
32x32,23100,3532190,1969970
64x64,171585,28304575,13674845
128x128,1352410,226705850,96605465
256x256,13722750,1814409200,676302975
2x2,235,620,275
4x4,305,6375,4700
8x8,785,53895,38300
16x16,3640,443265,276055
32x32,22950,3542790,1961945
64x64,170655,28303285,13612810
128x128,1367280,227010805,96750335
256x256,13995735,1816005610,676356530
2x2,225,545,295
4x4,325,6475,4795
8x8,785,55145,38310
16x16,3705,442385,277355
32x32,23360,3536980,1968450
64x64,169940,28432460,13658375
128x128,1370325,227052480,96506580
256x256,13965165,1814873610,676782165
2x2,215,625,305
4x4,310,6370,4725
8x8,790,54310,38100
16x16,3640,440240,278205
32x32,22955,3542485,1974595
64x64,171215,28504100,13730420
128x128,1362205,226489800,96609065
256x256,13897440,1813888685,676514505
2x2,225,545,300
4x4,310,6345,4950
8x8,760,54635,38275
16x16,3795,438615,275765
32x32,22960,3571485,1986105
64x64,171420,28383205,13618375
128x128,1375195,226747170,96388590
256x256,13994390,1813995440,678503030
2x2,235,565,320
4x4,330,6410,4760
8x8,775,54220,38315
16x16,3610,442440,278065
32x32,23040,3555465,1954240
64x64,169525,28301100,13723460
128x128,1349570,226888130,96461785
256x256,14001215,1814420730,676262860
2x2,230,550,290
4x4,305,6285,4665
8x8,770,54225,37905
16x16,3755,440945,276925
32x32,42050,3551930,1971985
64x64,171760,28294540,13642165
128x128,1365090,226714675,96422375
256x256,13827835,1813526910,677438050
2x2,225,585,310
4x4,330,6445,4775
8x8,785,54720,38800
16x16,3690,442965,275925
32x32,23285,3545140,1984905
64x64,170455,28329935,13697685
128x128,1369415,226629780,96459680
256x256,13910440,1814163615,677495615
2x2,225,575,290
4x4,330,6450,4765
8x8,795,55450,38345
16x16,3680,439015,278400
32x32,23585,3547370,1971070
64x64,171060,28399240,13642370
128x128,1364555,226749870,96370025
256x256,13950090,1814592105,675432810
2x2,225,525,295
4x4,315,6450,4770
8x8,775,54810,38580
16x16,3975,441010,278480
32x32,22925,3567775,1955380
64x64,170535,28392800,13631025
128x128,1348820,226441975,96334890
256x256,13960420,1816581150,676944975
2x2,230,615,290
4x4,320,6420,4875
8x8,795,54610,37970
16x16,3665,440430,279135
32x32,23260,3518970,1945075
64x64,169675,28315390,13659795
128x128,1371860,226282875,96285100
256x256,13752135,1813037065,675701765
2x2,230,575,305
4x4,325,6390,4740
8x8,775,54380,38290
16x16,3630,442290,278085
32x32,23070,3535655,1944575
64x64,169160,28263780,13644750
128x128,1348100,226447245,96266875
256x256,15852110,1812280250,676061305
2x2,215,575,285
4x4,310,6445,4995
8x8,790,54595,38210
16x16,3930,440925,277975
32x32,23230,3558505,1949950
64x64,171155,28465245,13729135
128x128,1358985,226505895,96212185
256x256,13930970,1812655510,676383995
2x2,235,535,280
4x4,315,6385,4715
8x8,770,54120,38480
16x16,3660,439080,276625
32x32,23155,3520655,1945745
64x64,169720,28420055,13672615
128x128,1362930,226061850,96415110
256x256,14014975,1815231010,676357590
2x2,255,580,285
4x4,315,6385,4760
8x8,775,55095,38195
16x16,3710,443335,278240
32x32,23020,3530865,1972515
64x64,170900,28246865,13628585
128x128,1361575,226983425,96545620
256x256,13698135,1813939330,678089980
2x2,215,575,290
4x4,320,6525,4810
8x8,790,55455,38875
16x16,3705,442770,277990
32x32,22785,3521035,1949085
64x64,169395,28522470,13685085
128x128,1383810,226508070,96554155
256x256,14001265,1814545565,676655990
2x2,220,590,350
4x4,330,6440,4760
8x8,775,54760,38315
16x16,3665,440165,274305
32x32,23125,3563920,1971115
64x64,172060,28469245,13866625
128x128,1370115,226719230,96428955
256x256,13751235,1812611170,677033240
2x2,215,565,280
4x4,315,6435,4780
8x8,795,54575,38225
16x16,3690,445255,280395
32x32,23085,3592775,1952345
64x64,170845,28500690,13782960
128x128,1348755,226500285,96427755
256x256,13894915,1815077360,677043050
2x2,225,575,265
4x4,315,6785,5055
8x8,805,55405,38445
16x16,4090,445890,279990
32x32,23390,3548235,1960290
64x64,170220,28418205,13731350
128x128,1373245,226920145,96478870
256x256,13879810,1813029500,676721390
2x2,235,615,275
4x4,315,6380,4740
8x8,805,54100,38290
16x16,3685,441885,276905
32x32,22895,3514290,1951310
64x64,170905,28305880,13700345
128x128,1374540,226967270,96635495
256x256,13609125,1813937410,677410555
2x2,220,540,295
4x4,325,6380,4730
8x8,770,53780,38530
16x16,3635,436980,275670
32x32,22815,3528815,1945525
64x64,170525,28351785,13609750
128x128,1355690,226911805,96103685
256x256,13787525,1815616250,677019505
2x2,230,600,270
4x4,305,6420,4735
8x8,785,54650,37770
16x16,3635,450030,276430
32x32,22925,3518900,1955180
64x64,170190,28263185,13632790
128x128,1349735,227204845,96814125
256x256,13788820,1814759060,676751330
2x2,225,1330,365
4x4,445,6395,4630
8x8,730,53915,38435
16x16,3615,437425,276165
32x32,23010,3517565,1946625
64x64,170085,28213040,13645560
128x128,1354325,226610665,96514740
256x256,13676925,1813275950,676923340
2x2,175,510,185
4x4,275,6345,4635
8x8,730,54475,37840
16x16,3600,437110,275280
32x32,22730,3508285,1966340
64x64,169455,28277685,13737815
128x128,1359415,226785905,96284735
256x256,13691820,1813484700,677806580
2x2,180,520,195
4x4,290,6390,4915
8x8,740,54525,38340
16x16,3760,437900,274090
32x32,23060,3503045,1940435
64x64,169880,28321905,13827720
128x128,1364785,226639010,96498060
256x256,13971765,1814866440,677110700
2x2,170,515,200
4x4,300,6390,4675
8x8,755,54545,38535
16x16,3630,437500,275715
32x32,22870,3512440,1941835
64x64,169325,28317605,13751940
128x128,1351340,226689580,96695475
256x256,14219230,1814322040,677409420
2x2,180,520,185
4x4,305,6345,4655
8x8,745,54130,38570
16x16,3645,437020,275630
32x32,23010,3503255,1947565
64x64,171110,28372640,13778100
128x128,1370560,226965265,97073010
256x256,13709955,1815148935,677025160
2x2,175,515,190
4x4,390,6340,4610
8x8,735,53950,37740
16x16,3600,477005,274635
32x32,22815,3526185,1947805
64x64,169855,28191715,13759140
128x128,1352145,226153420,96699130
256x256,13413350,1814304080,677100825
2x2,175,525,190
4x4,340,6660,4655
8x8,735,54485,38255
16x16,3615,436700,275985
32x32,23015,3524975,1949770
64x64,170800,28496280,13731310
128x128,1359055,226372365,96779045
256x256,13558190,1814380965,677837510
2x2,175,535,195
4x4,275,6500,4725
