Size,Traditional,Divide & Conquer, Strassen
2x2,210,630,285
4x4,305,6305,4710
8x8,770,53985,37870
16x16,3695,438040,276610
32x32,22950,3511590,1940415
64x64,168835,28302965,13728615
128x128,1353870,224569730,95944885
256x256,13948360,1804371305,673255020
2x2,210,625,275
4x4,315,6420,4750
8x8,780,53710,38040
16x16,3645,438050,275400
32x32,22950,3540015,1941165
64x64,169070,28285740,13674530
128x128,1341975,224560185,96109295
256x256,13755440,1805518540,673361435
2x2,280,580,320
4x4,310,6365,4725
8x8,785,54075,38670
16x16,3665,440250,275560
32x32,22935,3514755,1950000
64x64,168840,28211535,13668725
128x128,1356015,224692140,95981230
256x256,13572190,1804308895,673565065
2x2,260,615,270
4x4,310,6410,4920
8x8,905,54195,38425
16x16,3805,442515,276070
32x32,23060,3632235,1960960
64x64,171040,28304405,13675395
128x128,1347645,224545510,95912660
256x256,13324555,1804083895,673504055
2x2,205,540,325
4x4,315,6400,4735
8x8,775,54565,38010
16x16,3625,440125,277400
32x32,22965,3530710,1973780
64x64,169740,28122925,13660545
128x128,1343155,224740670,96321760
256x256,13815315,1804164980,673319500
2x2,230,580,320
4x4,315,6385,5135
8x8,775,53360,38225
16x16,3640,438085,273565
32x32,22805,3521250,1943135
64x64,169410,28166220,13693310
128x128,1351105,224537205,96027250
256x256,13836255,1803678165,673499340
2x2,225,645,285
4x4,310,6390,4705
8x8,850,54765,37860
16x16,3650,438065,277715
32x32,23285,3556760,1941780
64x64,169625,28106540,13657955
128x128,1353625,224528960,95951790
256x256,13582205,1803143455,673436395
2x2,215,565,300
4x4,305,6330,4725
8x8,1505,53965,37870
16x16,3635,436415,276530
32x32,22805,3505985,1941885
64x64,169110,28255845,13679500
128x128,1358280,224516355,95912880
256x256,13831160,1803222040,673759515
2x2,210,570,295
4x4,305,6305,4710
8x8,760,54610,37730
16x16,3645,441030,276380
32x32,23035,3535320,1956860
64x64,169695,28182415,13717845
128x128,1366505,224834590,96026435
256x256,13973105,1804959810,673208690
2x2,225,585,285
4x4,310,6420,4750
8x8,775,55010,38275
16x16,3640,436640,275535
32x32,22980,3537780,1942020
64x64,169170,28127505,13675505
128x128,1347600,224763020,96048595
256x256,13874845,1804407970,673523485
2x2,225,585,335
4x4,325,6380,4705
8x8,775,54070,38575
16x16,3685,442450,275875
32x32,23370,3525150,1945555
64x64,169525,28238945,13666910
128x128,1355855,224582890,95963205
256x256,13573910,1803762815,673321190
2x2,220,625,340
4x4,310,6360,4690
8x8,775,53980,38760
16x16,3695,463500,275195
32x32,23055,3510115,1940135
64x64,169405,28191690,13680555
128x128,1348375,224536985,95925875
256x256,13856355,1804658835,673461845
2x2,215,570,305
4x4,310,6365,4885
8x8,765,54310,37755
16x16,3765,438155,276635
32x32,22900,3518545,1962770
64x64,168880,28190685,13704510
128x128,1354365,224766120,96052445
256x256,13752480,1804111060,673122485
2x2,230,590,290
